GENE	ENSG	STRAND	CHROM	START	STOP
RP4-728D4.3	ENSG00000236274	1	1	35975343	35977039
AC016722.3	ENSG00000226548	-1	2	47079159	47080635
RP11-44K6.3	ENSG00000253939	-1	8	39761294	39852767
RP11-723O4.9	ENSG00000261159	-1	3	128578559	128579369
CTC-471C19.1	ENSG00000261037	-1	5	6019142	6022396
AL590282.1	ENSG00000264894	1	X	134340492	134340577
MTND5P19	ENSG00000231199	-1	1	235701352	235703145
SMARCE1P2	ENSG00000226309	-1	6	85139302	85140520
WI2-1959D15.1	ENSG00000264527	-1	9	139141824	139143051
SNORD65	ENSG00000212264	1	7	23436065	23436135
RP11-345I18.1	ENSG00000234041	1	1	179106899	179107069
MOG	ENSG00000137345	1	HSCHR6_MHC_QBL	29624680	29640072
RP11-244K5.7	ENSG00000215094	1	6	150272969	150273375
EIF4A2P4	ENSG00000224781	-1	X	52861754	52862949
snoU13	ENSG00000238802	1	4	129677181	129677284
RP13-210D15.6	ENSG00000227792	1	X	134370740	134371295
CTD-2013M15.1	ENSG00000250122	1	5	45890318	45896072
RNU7-143P	ENSG00000252590	1	7	23490277	23490341
RP11-472G23.3	ENSG00000219298	1	6	150298607	150300241
RP11-132M7.2	ENSG00000219604	-1	6	85399010	85399147
AC079780.3	ENSG00000236654	1	7	23520372	23520578
AC016722.4	ENSG00000228925	1	2	47126414	47135817
SETP10	ENSG00000231905	1	1	179152869	179153682
RP11-392L5.2	ENSG00000251345	1	4	130054261	130055253
USP17L2	ENSG00000223443	-1	8	11994677	11996586
RP11-1080G15.2	ENSG00000254242	1	8	18949243	18972534
MTND4P10	ENSG00000226663	-1	1	235703353	235704715
GUCY1A2	ENSG00000152402	-1	11	106544738	106889250
OR5BL1P	ENSG00000272569	1	11	57938570	57939193
RN7SL853P	ENSG00000244666	1	15	72956896	72957171
RP11-473M20.14	ENSG00000263072	-1	16	3166043	3184883
ANKRD36BP2	ENSG00000230006	1	2	89065324	89106126
MAST2	ENSG00000086015	1	1	46252659	46501796
RP11-399K21.13	ENSG00000273248	-1	10	77168731	77169084
RP11-361M10.4	ENSG00000261281	-1	15	72974607	72975245
RP11-132M7.3	ENSG00000228290	1	6	85399143	85419252
EIF4A2P3	ENSG00000254589	-1	11	58009515	58010569
RN7SL368P	ENSG00000239948	-1	19	44164652	44164928
RPS2P32	ENSG00000232818	1	7	23530092	23530983
RP11-618M23.1	ENSG00000250316	1	8	19095247	19099422
ZSWIM5P3	ENSG00000248958	-1	4	130057081	130060895
RP11-381K20.2	ENSG00000250159	-1	5	137150022	137225025
RP11-269M20.2	ENSG00000271455	1	5	49899063	49899345
BTF3P10	ENSG00000231120	1	6	150299052	150299552
RP11-399K21.14	ENSG00000272692	1	10	77168915	77171600
SNORA67	ENSG00000212338	1	1	179165608	179165714
PCBP1-AS1	ENSG00000179818	-1	2	70189395	70315978
AC006953.1	ENSG00000264133	-1	19	44167328	44167426
RP5-1007M22.2	ENSG00000231999	-1	1	90048800	90098453
SNORA67	ENSG00000201619	1	1	179170622	179170762
RP11-269M20.1	ENSG00000213956	1	5	49928958	49929436
AC115522.3	ENSG00000268601	-1	19	44298461	44299810
EIF4A1P11	ENSG00000231564	1	1	179170840	179171061
CTC-471C19.2	ENSG00000259861	1	5	6030148	6030954
MIR4673	ENSG00000263403	-1	9	139414020	139414078
RP11-15A1.3	ENSG00000267058	-1	19	44395956	44405957
MTND1P13	ENSG00000232014	1	22	24347904	24349416
Y_RNA	ENSG00000200847	-1	7	23531411	23531512
RP11-15I20.1	ENSG00000272814	-1	2	47183754	47184027
RP11-444E17.6	ENSG00000272442	1	6	44240931	44346694
SKA1	ENSG00000154839	1	18	47901365	47920543
RP11-293G6__B.4	ENSG00000231582	-1	1	235704712	235705006
Y_RNA	ENSG00000202071	-1	3	65989514	65989615
AC106753.1	ENSG00000266475	-1	5	137316150	137316247
AC006026.9	ENSG00000224785	-1	7	23602078	23603880
AC093732.1	ENSG00000233845	-1	2	47262418	47267663
RP11-434B12.1	ENSG00000260837	-1	2	8861264	8862816
PTPRD	ENSG00000153707	-1	9	8314246	10612723
RP11-345I18.4	ENSG00000225711	1	1	179190073	179191260
OR10Q2P	ENSG00000272900	-1	11	58059298	58060237
AC106827.1	ENSG00000203647	-1	3	65994445	65994875
ADPGK-AS1	ENSG00000260898	1	15	73075176	73090540
RP11-44K6.2	ENSG00000253838	1	8	39771748	39773240
RP11-15A1.2	ENSG00000267191	1	19	44406153	44430697
RP11-325L7.1	ENSG00000246323	1	5	137368463	137372955
RP3-435K13.1	ENSG00000216523	-1	6	85676115	85676343
EIF4EBP1P2	ENSG00000229513	1	22	24348440	24348799
RAET1K	ENSG00000218358	-1	6	150319155	150326293
Y_RNA	ENSG00000207146	-1	X	107920181	107920287
RNU6-787P	ENSG00000206759	-1	3	66343538	66343644
RP11-269M20.3	ENSG00000271752	-1	5	49958693	49959100
AC006026.10	ENSG00000232553	-1	7	23624681	23625974
RP11-44K6.4	ENSG00000254287	-1	8	39775595	39778409
OR5BC1P	ENSG00000255218	-1	11	58085109	58085847
RNVU1-5	ENSG00000206828	-1	1	144491442	144491605
AC026797.1	ENSG00000221568	1	5	6112224	6112313
MTND3P8	ENSG00000232714	-1	1	235705059	235705397
RP6-24A23.7	ENSG00000261409	-1	X	107963179	107968174
RN7SL482P	ENSG00000241587	1	3	66374279	66374574
RP3-455E7.1	ENSG00000220291	1	6	85865385	85877467
DMRTC1	ENSG00000159123	-1	X	72091859	72163653
RP11-378N18.1	ENSG00000251195	1	4	130098541	130100249
RNU1-59P	ENSG00000201699	1	1	144534038	144534199
AC073283.7	ENSG00000225187	1	2	47294961	47298343
AP000351.8	ENSG00000224676	-1	22	24350068	24352081
HMGB3P3	ENSG00000250730	1	5	6289970	6290737
RP11-413M3.4	ENSG00000227512	1	9	139437333	139438287
NPM1P42	ENSG00000259259	-1	15	73191740	73192601
RP11-15A1.7	ENSG00000266921	-1	19	44501048	44506988
RP11-814M22.2	ENSG00000271174	-1	3	66673184	66673526
RP4-728D4.2	ENSG00000239636	-1	1	36035414	36043330
RP11-618M23.2	ENSG00000254201	1	8	19103860	19106750
RP11-44K6.5	ENSG00000253790	-1	8	39855388	39856018
FCF1P1	ENSG00000227436	1	7	23658952	23662445
RPL21P41	ENSG00000214560	1	3	66687573	66687836
RP11-317O24.1	ENSG00000249405	-1	5	50154594	50155854
KISS1	ENSG00000170498	-1	1	204159469	204165614
RP11-399K21.10	ENSG00000236842	-1	10	77190329	77191346
COX5BP8	ENSG00000223794	1	1	179224868	179225216
OR5B19P	ENSG00000255431	-1	11	58111210	58112137
RP11-85I21.1	ENSG00000241884	1	3	67346724	67356783
RP11-293G6__B.2	ENSG00000235761	-1	1	235705459	235705690
RP1-161C16.1	ENSG00000216902	1	6	85967046	85967412
RP6-24A23.3	ENSG00000237863	1	X	107979241	107982133
C14orf166B	ENSG00000100565	1	14	77292715	77336645
MIR606	ENSG00000207583	1	10	77312216	77312311
RP11-419L4.1	ENSG00000250193	-1	4	130220330	130226177
AC067968.3	ENSG00000267144	-1	19	44527756	44529414
HPS4	ENSG00000100099	-1	22	26839389	26879803
OR5B10P	ENSG00000255096	-1	11	58116462	58117103
RP11-310J24.3	ENSG00000268659	1	10	77402234	77402857
MIR4674	ENSG00000265181	-1	9	139440625	139440711
AC073283.4	ENSG00000234690	-1	2	47419544	47572213
RP11-519M16.1	ENSG00000246876	-1	4	130645326	130692636
MTRF1L	ENSG00000112031	-1	6	153308497	153323820
RNU6-902P	ENSG00000253021	-1	19	44589366	44589456
RP11-345I18.6	ENSG00000228191	-1	1	179240251	179240401
RP11-413E1.4	ENSG00000230735	1	1	90095284	90141945
FKBP1AP2	ENSG00000259691	-1	15	73435577	73435859
RP11-293G6__B.8	ENSG00000270710	1	1	235729061	235730237
AC006026.12	ENSG00000228953	1	7	23695301	23695480
RP11-367B6.2	ENSG00000228280	1	10	77502498	77503513
RN7SL281P	ENSG00000239859	-1	1	36171626	36171875
RP11-30P6.1	ENSG00000217060	1	6	85995794	86000567
RN7SL53P	ENSG00000265842	1	19	44596257	44596551
NDUFB4P1	ENSG00000242510	1	3	67564364	67564744
RN7SL374P	ENSG00000263633	1	1	179333448	179333743
RHBDD2	ENSG00000005486	1	7	75471920	75518244
RP13-210D15.4	ENSG00000238210	1	X	134386524	134387531
RP11-611D20.2	ENSG00000237886	1	9	139440664	139444345
DDX11L9	ENSG00000248472	-1	15	102516758	102519298
HLA-N	ENSG00000236688	1	HSCHR6_MHC_QBL	30308697	30308831
RP11-454L9.2	ENSG00000259318	-1	14	55861658	55861951
AP000435.3	ENSG00000255333	-1	11	58121477	58121972
AP000351.9	ENSG00000184490	1	22	24366750	24370882
RP11-618M23.4	ENSG00000253280	-1	8	19111751	19114844
RP11-435D7.3	ENSG00000232335	1	1	36204990	36209177
AC006026.1	ENSG00000223275	-1	7	23708896	23708973
MEF2AP1	ENSG00000224620	-1	1	179416713	179417575
AC084219.3	ENSG00000267163	-1	19	44598503	44603864
RP11-413E1.2	ENSG00000226394	-1	1	90126771	90126912
RP11-1105O14.1	ENSG00000253270	1	8	19536083	19546445
AC006026.13	ENSG00000234286	-1	7	23719814	23720405
RAET1M	ENSG00000216444	1	6	150353905	150354702
AL773535.4	ENSG00000258067	-1	HSCHR6_MHC_QBL	30313513	30313600
RPL21P6	ENSG00000239199	-1	14	55880274	55880777
HNRNPA1P54	ENSG00000236539	-1	1	179416737	179426450
RNU6-309P	ENSG00000201443	1	X	108069994	108070099
snoU13	ENSG00000238888	1	2	9119024	9119128
RP11-365D9.1	ENSG00000227236	1	1	235777974	235779697
RP4-789D17.4	ENSG00000271164	-1	1	36338871	36339353
OR5B1P	ENSG00000233499	-1	11	58133309	58134236
AC084219.4	ENSG00000186019	-1	19	44609616	44617298
NPM1P43	ENSG00000259440	-1	15	73454120	73455269
WBP1	ENSG00000239779	1	2	74685456	74688018
PCMTD1P3	ENSG00000234800	-1	7	23760930	23761401
RP11-473M20.16	ENSG00000261889	-1	16	3206737	3207484
AC100802.3	ENSG00000253775	1	8	19936816	19975953
RP11-359E19.1	ENSG00000253381	1	8	39961688	39965454
HCG19P	ENSG00000227100	-1	HSCHR6_MHC_QBL	30316559	30317192
RP11-545A16.1	ENSG00000261250	-1	1	179512336	179518057
RP11-81N13.1	ENSG00000241316	1	3	67705121	67998137
HMGB1P25	ENSG00000230886	-1	2	9158422	9159028
BUB3	ENSG00000154473	1	10	124913793	124924886
snoU13	ENSG00000239176	-1	1	90233771	90233877
TMEM187	ENSG00000177854	1	X	153237778	153248646
CTD-2328D6.1	ENSG00000226958	-1	X	108297361	108297792
KTN1-AS1	ENSG00000186615	-1	14	55965996	56046828
TCTE1	ENSG00000146221	-1	6	44246480	44265458
RP5-943J3.1	ENSG00000231613	1	1	90254473	90256051
RP11-359E19.2	ENSG00000253665	1	8	39972170	39984987
RNU5F-2P	ENSG00000251875	1	1	179545403	179545484
AJ003147.8	ENSG00000262521	-1	16	3231233	3234018
RP4-789D17.5	ENSG00000271914	-1	1	36395321	36395716
RP1-31B8.1	ENSG00000215000	1	X	108585042	108585926
SASH1	ENSG00000111961	1	6	148593440	148873186
RP11-472G23.10	ENSG00000235972	-1	6	150361683	150363169
AP000351.10	ENSG00000235231	1	22	24373117	24374043
GOLT1A	ENSG00000174567	-1	1	204167288	204183220
CTC-512J12.7	ENSG00000270679	1	19	44794234	44795064
UBQLN1P1	ENSG00000236122	-1	HSCHR6_MHC_QBL	30320389	30321557
RP11-545A16.3	ENSG00000227141	1	1	179555840	179558310
RP11-265D19.6	ENSG00000229015	1	X	134530354	134531689
RP5-943J3.2	ENSG00000272931	-1	1	90285733	90286427
OR5B15P	ENSG00000273408	-1	11	58155056	58155959
AJ003147.9	ENSG00000262668	1	16	3238212	3274779
RP11-317O24.3	ENSG00000270830	1	5	50199442	50199577
RP4-665N4.8	ENSG00000271554	-1	1	36457710	36479231
PHBP1	ENSG00000213091	1	6	150363682	150364489
EPC1	ENSG00000120616	-1	10	32556679	32667726
RP11-640M9.2	ENSG00000225241	1	1	144593363	144621656
RP11-317O24.2	ENSG00000251601	-1	5	50225318	50230355
HCG18	ENSG00000231074	-1	6	30255174	30294927
RP11-302M6.5	ENSG00000272672	1	1	90405160	90405706
KB-226F1.1	ENSG00000272955	1	22	24375562	24376211
NDUFA3P1	ENSG00000267590	1	19	44801257	44801508
AL773535.2	ENSG00000257478	1	HSCHR6_MHC_QBL	30321757	30321880
RP11-655C2.3	ENSG00000255299	-1	11	58265361	58273231
RP11-470M17.2	ENSG00000254143	1	8	40018977	40030131
CD19	ENSG00000177455	1	16	28943260	28950667
OR1F2P	ENSG00000203581	1	16	3265562	3266546
RN7SKP272	ENSG00000252797	-1	1	90453272	90453503
CTD-2324F15.2	ENSG00000250490	-1	5	6310554	6339997
CTC-512J12.4	ENSG00000267188	-1	19	44896603	44952640
RP11-272D12.2	ENSG00000259528	-1	15	73547675	73548450
CTAGE15	ENSG00000176227	1	7	143268819	143271478
AL773535.1	ENSG00000257299	-1	HSCHR6_MHC_QBL	30325459	30325567
RPL30P9	ENSG00000242709	-1	8	19970854	19971183
MARK2	ENSG00000072518	1	11	63606400	63678491
CTD-2089N3.1	ENSG00000250360	-1	5	50261521	50262842
AC113171.1	ENSG00000266400	1	3	67878596	67878697
U3	ENSG00000252440	1	9	139496967	139497062
snoU13	ENSG00000238594	1	6	150485720	150485822
GEMIN8P4	ENSG00000228175	-1	1	90459152	90459880
WASH6P	ENSG00000182484	1	X	155250491	155255375
GSTTP2	ENSG00000239334	-1	22	24385938	24401899
AL773535.5	ENSG00000258263	-1	HSCHR6_MHC_QBL	30339804	30339888
RP4-665N4.4	ENSG00000232862	-1	1	36545667	36547923
RNU6-892P	ENSG00000222267	1	8	20087290	20087388
RNU4-7P	ENSG00000201628	-1	6	150647759	150647899
RP11-272D12.1	ENSG00000259650	1	15	73627601	73634728
RNU6-162P	ENSG00000252037	1	7	143271839	143271941
CTD-2089N3.2	ENSG00000251573	-1	5	50265051	50266001
KRT18P64	ENSG00000213211	1	6	85997507	85998725
RP11-545A16.4	ENSG00000261060	1	1	179559507	179560440
SSR1P1	ENSG00000220598	-1	6	150705443	150706256
AL773535.3	ENSG00000257665	1	HSCHR6_MHC_QBL	30349771	30349858
LZTS1-AS1	ENSG00000253733	1	8	20133284	20147969
AC073264.6	ENSG00000230556	1	7	143276000	143276165
LDHAP2	ENSG00000235674	1	1	235901305	235902289
RNU6-695P	ENSG00000212459	-1	1	90719014	90719117
AL359853.1	ENSG00000221547	-1	1	179679385	179679481
ZNF285B	ENSG00000176761	1	19	44971858	44977444
LINC00086	ENSG00000178947	1	X	134555868	134561999
RP11-30P6.6	ENSG00000234155	-1	6	86096937	86099904
AL844203.1	ENSG00000257461	-1	HSCHR6_MHC_QBL	30350286	30350373
RP5-827O9.1	ENSG00000229201	-1	1	90976467	90999029
TIMP4	ENSG00000157150	-1	3	12194551	12200851
HLA-DMA	ENSG00000242685	-1	HSCHR6_MHC_QBL	32845119	32867240
RP11-12M5.1	ENSG00000243062	1	1	179699352	179711832
RP11-291C6.1	ENSG00000219622	-1	6	150825947	150831436
RP11-251M1.1	ENSG00000228401	-1	9	139543062	139554873
MRPS15P1	ENSG00000259186	-1	15	73775537	73776284
MREG	ENSG00000118242	-1	2	216809213	216898819
PPP3R1	ENSG00000221823	-1	2	68405989	68483369
AC079586.1	ENSG00000204460	-1	2	129999746	130031421
GTF3C2	ENSG00000115207	-1	2	27548716	27579868
DUTP5	ENSG00000216439	-1	6	86136375	86136843
MICC	ENSG00000237034	1	HSCHR6_MHC_QBL	30371999	30376604
LA16c-360H6.3	ENSG00000262899	-1	16	3357573	3358393
RP11-8P11.3	ENSG00000260469	1	15	74060555	74061978
RP1-136J15.5	ENSG00000233874	1	X	108811707	108813518
RNA5SP515	ENSG00000201440	-1	X	134562093	134562210
AC106869.2	ENSG00000226087	1	2	47452933	47466364
RAB19	ENSG00000146955	1	7	140103843	140126050
TCFL5	ENSG00000101190	-1	20	61472467	61493115
AP000351.13	ENSG00000235689	-1	22	24402751	24404704
LYST-AS1	ENSG00000229463	1	1	236002783	236003482
RN7SL131P	ENSG00000264592	1	1	36657516	36657769
LA16c-360H6.2	ENSG00000262554	1	16	3358609	3358816
U3	ENSG00000199666	1	1	91123307	91123520
NEK8	ENSG00000160602	1	17	27052915	27070473
AC008671.1	ENSG00000222732	1	5	171706206	171706319
UBE2V2P4	ENSG00000231849	-1	1	36707499	36707757
FAM86B1	ENSG00000186523	-1	8	12039605	12051642
RP11-24D15.1	ENSG00000260624	-1	15	74163291	74165707
MIR1537	ENSG00000222831	-1	1	236016300	236016360
KB-318B8.7	ENSG00000232545	1	22	24497652	24499317
CTA-392C11.1	ENSG00000253802	-1	8	40156260	40200921
AC011407.1	ENSG00000216127	-1	5	171866667	171866758
RP11-433P17.1	ENSG00000262316	-1	16	3373192	3373925
RP11-12M5.3	ENSG00000229407	-1	1	179785319	179787326
GART	ENSG00000159131	-1	21	34876238	34915797
RP4-665J23.1	ENSG00000233593	-1	1	91248543	91317207
RP11-136K14.1	ENSG00000232891	1	6	150921970	150926986
snoU13	ENSG00000238546	1	2	130184995	130185098
RNU5E-2P	ENSG00000252056	-1	1	236026688	236026737
RP11-563N12.2	ENSG00000253164	1	8	20207721	20230280
RNU4-27P	ENSG00000222821	-1	1	36868322	36868460
AC069278.4	ENSG00000267242	-1	19	44978645	44979403
CTD-2089N3.3	ENSG00000248918	1	5	50265494	50266021
CTB-54I1.1	ENSG00000254299	-1	5	171984395	171986017
RNU6-968P	ENSG00000206803	1	1	236078715	236078821
AP000354.4	ENSG00000230712	-1	22	24644042	24645434
ZNF620	ENSG00000177842	1	3	40547483	40560227
SNORA63	ENSG00000201448	-1	1	36884051	36884179
RP11-136K14.2	ENSG00000224029	1	6	150945813	150947222
RP5-940F7.2	ENSG00000237845	-1	1	236105853	236107105
BCYRN1	ENSG00000236824	1	2	47558199	47571656
FTLP18	ENSG00000230214	1	1	37095936	37096458
RPL30P3	ENSG00000223640	-1	2	9221524	9221856
TLK1	ENSG00000198586	-1	2	171847333	172087824
AC108137.1	ENSG00000222064	1	15	74183750	74183828
AC019050.1	ENSG00000233428	1	2	130253870	130254361
RP1-136J15.1	ENSG00000237319	1	X	108880063	108880292
RP11-12M5.4	ENSG00000231966	-1	1	179798744	179805259
RMDN1	ENSG00000176623	-1	8	87480486	87526586
RNU6-480P	ENSG00000207060	-1	5	50351187	50351293
RP4-580N22.2	ENSG00000229291	-1	1	236121179	236135125
OTUD7B	ENSG00000163113	-1	1	149909705	149982625
RNU1-149P	ENSG00000212172	-1	12	22348403	22348563
RP11-734K21.2	ENSG00000242136	1	2	9243569	9245243
WASF3	ENSG00000132970	1	13	27131840	27263085
RP11-136K14.3	ENSG00000226599	-1	6	150971908	150973161
RP4-614N24.1	ENSG00000234481	1	1	37238741	37241369
AC091866.1	ENSG00000222945	-1	5	50357303	50357391
AL731568.1	ENSG00000215921	-1	10	77583444	77583536
RP11-73M14.1	ENSG00000256714	-1	12	22548022	22551009
Y_RNA	ENSG00000252822	1	1	236223977	236224072
CTB-79E8.3	ENSG00000253683	-1	5	172083525	172083716
MIR4255	ENSG00000264698	1	1	37627164	37627235
IGHV3-53	ENSG00000211967	-1	14	107048672	107049341
RN7SKP119	ENSG00000222685	-1	2	47586644	47586916
TCL1A	ENSG00000100721	-1	14	96176304	96180533
PDCL3P5	ENSG00000213089	1	6	151148799	151149520
RP11-533E19.7	ENSG00000272906	-1	1	179850742	179851730
RP11-359J14.2	ENSG00000256973	-1	12	22613453	22616848
Y_RNA	ENSG00000252069	-1	X	108987872	108987978
RNU6-636P	ENSG00000207328	1	1	37669211	37669317
RNU6-1296P	ENSG00000206606	-1	5	50463375	50463481
RP4-764D2.1	ENSG00000235371	1	1	236273361	236275670
AL844213.4	ENSG00000257425	1	HSCHR6_MHC_QBL	30414329	30414452
RP11-404E12.1	ENSG00000253178	1	8	20408712	20408916
TPT1P6	ENSG00000214460	-1	6	86137171	86137684
AC079776.1	ENSG00000229536	-1	2	130626766	130635126
RP5-1180C18.1	ENSG00000223944	-1	1	37728340	37790701
MIR559	ENSG00000207923	1	2	47604814	47604909
CROCCP1	ENSG00000225769	1	X	134566885	134572559
RP11-359J14.3	ENSG00000256371	1	12	22726359	22728039
RPS5P7	ENSG00000225381	1	X	109096541	109097148
RN7SL230P	ENSG00000264916	1	1	179869397	179869697
CTD-2312P21.1	ENSG00000240627	1	5	50571087	50571568
RP1-99E18.2	ENSG00000218996	1	6	151256104	151256702
TMPOP1	ENSG00000235223	1	HSCHR6_MHC_QBL	30423833	30425362
MIR5003	ENSG00000265160	1	5	172089168	172089266
IGHV1-58	ENSG00000211968	-1	14	107078373	107078869
RP11-533E19.2	ENSG00000261831	-1	1	179895776	179910931
MIR126	ENSG00000199161	1	9	139565054	139565138
RNA5SP43	ENSG00000252368	-1	1	37730278	37730387
LOXL1-AS1	ENSG00000261801	-1	15	74200424	74220589
CTD-2195M18.2	ENSG00000271230	-1	5	6533004	6533313
AC138655.6	ENSG00000236558	-1	2	47713153	47715691
AL590226.1	ENSG00000221693	1	9	139588588	139588714
U3	ENSG00000251944	-1	8	20472340	20472437
RP11-533E19.5	ENSG00000260360	-1	1	179922319	179923575
RNU6-302P	ENSG00000202119	1	6	151260358	151260464
RPS29P6	ENSG00000230451	1	1	37796453	37796597
C5orf56	ENSG00000197536	1	5	131746328	131811736
AC079776.2	ENSG00000214100	-1	2	130680435	130691890
TIPARP	ENSG00000163659	1	3	156391024	156424559
RP11-734K21.5	ENSG00000261104	1	2	9246722	9249994
RP11-265D19.7	ENSG00000271158	-1	X	134598254	134599409
RP11-268P4.2	ENSG00000256774	1	12	22749162	22749485
RP11-108E14.1	ENSG00000253300	-1	8	20513202	20557645
AL133260.1	ENSG00000221469	-1	6	151361052	151361107
RP4-665J23.2	ENSG00000225446	1	1	91317316	91319843
RP11-533E19.3	ENSG00000235145	1	1	179937821	179938641
UBE2B	ENSG00000119048	1	5	133706870	133727683
RP11-268P4.5	ENSG00000250166	1	12	22754359	22771801
RP1-292B18.3	ENSG00000232290	-1	6	151376033	151377193
RNU2-70P	ENSG00000222650	1	1	236431080	236431258
DDX26B-AS1	ENSG00000225235	-1	X	134654008	134654599
PLEKHA6	ENSG00000143850	-1	1	204187979	204346793
COPS8P2	ENSG00000214552	1	3	68194154	68194780
FAM179A	ENSG00000189350	1	2	29179477	29284239
RP4-665J23.4	ENSG00000272094	-1	1	91326107	91328477
ELOVL1	ENSG00000066322	-1	1	43829068	43833696
snoU13	ENSG00000238702	1	5	50617817	50617919
RP11-478H16.1	ENSG00000237922	-1	1	236449276	236450260
RP11-268P4.4	ENSG00000257023	-1	12	22762162	22777949
IGHV4-59	ENSG00000224373	-1	14	107081806	107083830
RPL7AP4	ENSG00000213641	1	14	56010119	56010887
MIR652	ENSG00000208013	1	X	109298557	109298654
RP1-3J17.3	ENSG00000236016	1	6	86340080	86340995
RP1-292B18.4	ENSG00000223598	-1	6	151409239	151549582
PHKA1P1	ENSG00000232882	-1	1	91358549	91359169
CTA-392C11.2	ENSG00000253354	1	8	40227547	40259367
LINC01137	ENSG00000233621	-1	1	37920480	37940012
SUCLA2P1	ENSG00000223693	1	HSCHR6_MHC_QBL	30426181	30427550
PKMP3	ENSG00000220563	-1	6	86369610	86370324
RP11-1008M1.1	ENSG00000240568	1	3	68241548	68241730
RP11-52I18.1	ENSG00000223450	-1	1	179969573	179969943
CEACAM20	ENSG00000176395	-1	19	45005729	45033811
MIR3978	ENSG00000265584	1	X	109325346	109325446
RP11-132J14.3	ENSG00000271484	1	14	56013392	56014841
LCORL	ENSG00000178177	-1	4	17842822	18023499
CTD-2314G24.2	ENSG00000259663	-1	5	50668570	50679166
BX248133.1	ENSG00000203544	-1	HSCHR6_MHC_SSTO	31745551	31818230
AL391380.1	ENSG00000264284	-1	X	134702492	134702591
PTF1A	ENSG00000168267	1	10	23481256	23483181
RPL5P6	ENSG00000232393	1	1	91489476	91490361
RP11-436J20.1	ENSG00000244640	-1	3	68682857	68683507
SNHG7	ENSG00000233016	-1	9	139615818	139622636
TMEM97P2	ENSG00000253866	-1	8	20791946	20792348
RP1-292B18.1	ENSG00000219747	1	6	151420665	151421069
RP11-301G7.1	ENSG00000272479	-1	8	40377084	40377677
FGG	ENSG00000171557	-1	4	155525286	155534119
AC096922.1	ENSG00000212095	1	3	68684067	68684160
snoU13	ENSG00000252638	1	1	236464280	236464351
CTB-79E8.2	ENSG00000253445	-1	5	172117457	172124723
MIR5581	ENSG00000263675	-1	1	37966536	37966595
RP11-502H18.2	ENSG00000261817	-1	1	180086275	180093025
Y_RNA	ENSG00000200742	1	14	56118252	56118352
PSMC1P1	ENSG00000241506	1	3	68684856	68686175
ENO1P1	ENSG00000244457	1	1	236646465	236647768
RP11-432N13.2	ENSG00000237833	-1	X	134717576	134719085
Y_RNA	ENSG00000206817	1	1	91727182	91727281
RP1-297M16.2	ENSG00000231883	-1	6	151517816	151518773
SNORD96B	ENSG00000208883	-1	X	109468213	109468291
RANP1	ENSG00000229038	1	HSCHR6_MHC_QBL	30443238	30443888
RP11-779O18.1	ENSG00000253295	1	5	172185229	172189559
LINC01018	ENSG00000250056	1	5	6582249	6588612
FTH1P1	ENSG00000232273	1	1	38010364	38010895
FEN1P1	ENSG00000215873	1	1	91793926	91795070
AMMECR1-IT1	ENSG00000224142	-1	X	109548648	109550449
RNA5SP135	ENSG00000252828	1	3	68932118	68932242
RP11-114G22.1	ENSG00000256995	1	12	22852793	23327057
RNU6-300P	ENSG00000238616	1	6	151522476	151522579
RP11-779O18.2	ENSG00000213386	-1	5	172189524	172190261
RP11-613F7.1	ENSG00000213087	-1	6	151546685	151547082
LGALS8-AS1	ENSG00000223776	-1	1	236686369	236687808
RP11-369E15.1	ENSG00000254260	1	8	20798939	20807686
AL844213.5	ENSG00000257656	1	HSCHR6_MHC_QBL	30445600	30445684
RP5-1180C10.2	ENSG00000230124	-1	1	180238788	180245359
IGHV4-61	ENSG00000211970	-1	14	107095126	107095662
POM121L9P	ENSG00000128262	1	22	24647796	24661493
CTD-2013N24.2	ENSG00000244513	1	3	69063092	69105773
AL844213.9	ENSG00000258228	-1	HSCHR6_MHC_QBL	30446021	30446144
TDGF1P3	ENSG00000225366	1	X	109763540	109766249
RP11-385F5.5	ENSG00000273058	-1	1	236699473	236700004
RP11-290F24.6	ENSG00000267940	-1	11	6223131	6224483
RNU6-1247P	ENSG00000252431	-1	6	151601650	151601747
AL844213.3	ENSG00000257423	1	HSCHR6_MHC_QBL	30449135	30449219
RP11-465K16.1	ENSG00000254383	-1	8	40757535	40759373
AC138655.4	ENSG00000235760	1	2	47754676	47762338
AC079776.3	ENSG00000237574	1	2	130680750	130704276
RNY4P20	ENSG00000252487	-1	6	151619976	151620068
RP11-385F5.4	ENSG00000230325	-1	1	236703394	236713580
AL844213.6	ENSG00000257892	1	HSCHR6_MHC_QBL	30455663	30456253
RNU6-356P	ENSG00000206867	1	8	40890411	40890517
RN7SKP268	ENSG00000223039	1	6	151640770	151641085
RP3-423B22.5	ENSG00000237749	1	1	38021843	38022108
IGHV3-64	ENSG00000223648	-1	14	107113741	107114274
RP11-369E15.3	ENSG00000254092	-1	8	20810156	20831388
RP11-182B22.2	ENSG00000226498	1	1	236982934	236983818
snoU13	ENSG00000238939	-1	6	151668162	151668247
MIR548AO	ENSG00000263372	-1	8	41128567	41128662
AC079250.1	ENSG00000230979	-1	2	47917855	47918385
AL844213.11	ENSG00000258299	-1	HSCHR6_MHC_QBL	30461218	30461339
RP11-304C12.4	ENSG00000270435	-1	11	6318419	6319836
